ts,uid,sa,sp,da,dp,pr,stos,td,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,pkt,byt,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label,te,teDelta,teT,teS
1540469197.400159,CnaDAG3n5r8eiG4su2,192.168.1.132,1900,239.255.255.250,1900,udp,-,160.367579,7536,0,S0,-,-,0,D,24,8208,0,0,-,benign,-,2018-10-25 12:06:37.400158976,0.0,12,43597
1540469198.477548,CkHQfG3B034MyvP3W,192.168.1.132,37653,104.155.18.91,443,tcp,-,78840.329305,25624,22995,OTH,-,-,0,AaDd,3291,157263,2667,129675,-,benign,-,2018-10-25 12:06:38.477547776,1.0773890018463135,12,43598
1540469302.53864,CGm6jB4dXK71ZDWUDh,192.168.1.132,58687,216.239.35.4,123,udp,-,0.114184,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:08:22.538640128,104.0610921382904,12,43702
1540469385.734089,CUrxU238nt0m6yTgKf,192.168.1.132,32893,216.239.35.8,123,udp,-,0.016986,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:09:45.734088960,83.19544887542725,12,43785
1540469418.379528,CAvXOZ3htimWEtglii,192.168.1.132,1900,239.255.255.250,1900,udp,-,384.518261,15072,0,S0,-,-,0,D,48,16416,0,0,-,benign,-,2018-10-25 12:10:18.379527936,32.64543914794922,12,43818
1540469831.265405,CUo9DH2QDnCaBIGjkg,192.168.1.132,52801,192.168.1.1,53,udp,dns,0.036724,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:17:11.265404928,412.8858768939972,12,44231
1540469831.302625,CGQf8t1kjdxB5PHXL4,192.168.1.132,53395,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,benign,-,2018-10-25 12:17:11.302625024,0.037220001220703125,12,44231
1540469863.253209,CP01y62UX7tbTa1x39,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.044330,60288,0,S0,-,-,0,D,192,65664,0,0,-,benign,-,2018-10-25 12:17:43.253209088,31.950584173202515,12,44263
1540470081.850824,CfJsUD2NGQvnK2p7Vd,192.168.1.132,58124,216.239.35.12,123,udp,-,0.270332,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:21:21.850824192,218.59761500358582,12,44481
1540470187.222098,CVwKZS98dRvk1jeH2,192.168.1.132,35313,216.239.35.0,123,udp,-,0.111429,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:23:07.222098176,105.3712739944458,12,44587
1540470355.430009,CzbHG4aoHRooWvyMg,192.168.1.132,46064,216.239.35.4,123,udp,-,0.114433,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:25:55.430008832,168.2079107761383,12,44755
1540470419.608808,CbTB0B2ZnnDWLAIml3,192.168.1.132,45230,216.239.35.8,123,udp,-,0.016984,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:26:59.608807936,64.17879915237427,12,44819
1540470731.305747,C2Lv0t2TFb4oOybzrh,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:32:11.305746944,311.69693899154663,12,45131
1540470731.346472,CKT1nF2pKxpwesvEtj,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 12:32:11.346471936,0.040724992752075195,12,45131
1540471110.727073,CaBoMhYTG8hXEYKUl,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:38:30.727073024,379.38060092926025,12,45510
1540471275.097352,CNKSzj2AzuaCQBuSsj,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:41:15.097351936,164.3702790737152,12,45675
1540471418.303992,CQeo6C4faCIKjIhMM3,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:43:38.303992064,143.2066400051117,12,45818
1540471494.493815,CDoMg14pwYZ0Rylhf1,192.168.1.132,42282,216.239.35.8,123,udp,-,0.016980,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:44:54.493815040,76.18982291221619,12,45894
1540471557.061917,CAb9Gv4xgifq99dLkc,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.048560,28260,0,S0,-,-,0,D,90,30780,0,0,-,benign,-,2018-10-25 12:45:57.061917184,62.56810212135315,12,45957
1540471631.350066,C1NlJjzoaDWwde1ak,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:47:11.350065920,74.28814888000488,12,46031
1540471631.533708,CAkyqq4QzwUJQDuxnc,192.168.1.132,56406,2.16.60.139,443,tcp,-,0.003498,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 12:47:11.533708032,0.18364214897155762,12,46031
1540472191.611346,Cv5jrH2pHRn5GLjwy2,192.168.1.132,52937,216.239.35.12,123,udp,-,0.272344,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:56:31.611345920,560.0776379108429,12,46591
1540472314.983162,Ce0eby5SunbIYssC6,192.168.1.132,53418,216.239.35.0,123,udp,-,0.109436,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:58:34.983161856,123.3718159198761,12,46714
1540472384.714259,CYBsqO1jX0dBXEeQUi,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.851218,3768,0,S0,-,-,0,D,12,4104,0,0,-,benign,-,2018-10-25 12:59:44.714258944,69.73109698295593,12,46784
1540472494.191783,CAOq8i3svbVXkWbZD3,192.168.1.132,60468,216.239.35.4,123,udp,-,0.114417,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:01:34.191782912,109.47752404212952,13,46894
1540472502.078251,CZa3qT1YOqrDnum2ud,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.868027,3768,0,S0,-,-,0,D,12,4104,0,0,-,benign,-,2018-10-25 13:01:42.078251008,7.886467933654785,13,46902
1540472524.797195,CROWuH3A0maFhUNqHl,192.168.1.132,40730,192.168.1.1,53,udp,dns,0.050455,37,179,SF,-,-,0,Dd,1,65,1,207,-,benign,-,2018-10-25 13:02:04.797195008,22.71894407272339,13,46924
1540472524.848149,CpMGWx1WZnjO78jNT2,192.168.1.132,50152,192.168.1.1,53,udp,dns,0.003998,37,442,SF,-,-,0,Dd,1,65,1,470,-,benign,-,2018-10-25 13:02:04.848148992,0.05095410346984863,13,46924
1540472524.852647,C0wssT3JKSiAqhCZw,192.168.1.132,56806,52.209.221.67,80,tcp,http,0.088446,1847,1539,SF,-,-,0,ShADadtfF,7,2139,7,1823,-,benign,-,2018-10-25 13:02:04.852647168,0.004498004913330078,13,46924
1540472524.942095,C6MXM823vAYEWDE1wi,192.168.1.132,42585,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,benign,-,2018-10-25 13:02:04.942095104,0.0894479751586914,13,46924
1540472524.943343,C52U38ISU4nIzZmwd,192.168.1.132,49327,192.168.1.1,53,udp,dns,0.000500,37,132,SF,-,-,0,Dd,1,65,1,160,-,benign,-,2018-10-25 13:02:04.943342848,0.0012478828430175781,13,46924
1540472524.944342,CZAnC51NxxuVdfhg28,192.168.1.132,60404,52.215.95.120,80,tcp,http,0.109187,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,benign,-,2018-10-25 13:02:04.944342016,0.0009989738464355469,13,46924
1540472531.535825,CTtK543h1wuw8BOjx,192.168.1.132,41945,192.168.1.1,53,udp,dns,0.046210,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 13:02:11.535824896,6.591483116149902,13,46931
1540472531.58253,C29JTF1UOZjbQoRx3,192.168.1.132,53406,2.16.60.82,443,tcp,-,0.003499,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,benign,-,2018-10-25 13:02:11.582530048,0.046705007553100586,13,46931
1540472539.348081,C3yNIb4bmZB9PGimj8,192.168.1.132,47872,216.239.35.8,123,udp,-,0.017238,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:02:19.348081152,7.7655510902404785,13,46939
1540472614.499427,C025uM1dmPB9pqTkP9,192.168.1.132,1900,239.255.255.250,1900,udp,-,1480.810378,52752,0,S0,-,-,0,D,168,57456,0,0,-,benign,-,2018-10-25 13:03:34.499427072,75.15134596824646,13,47014
1540473275.464119,C505sa1jNFFexpP6a3,192.168.1.132,40117,216.239.35.12,123,udp,-,0.269349,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:14:35.464119040,660.9646918773651,13,47675
1540473431.583954,Cv2jEb1aOYScmCnL5g,192.168.1.132,44519,192.168.1.1,53,udp,dns,0.036214,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 13:17:11.583954176,156.11983513832092,13,47831
1540473431.620666,Cx8IgN3iIIlwEhtIg3,192.168.1.132,56414,2.16.60.139,443,tcp,-,0.003495,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,benign,-,2018-10-25 13:17:11.620666112,0.036711931228637695,13,47831
1540474155.445242,CTIWJf3d4syOW81YAb,192.168.1.132,1900,239.255.255.250,1900,udp,-,1032.879228,37680,0,S0,-,-,0,D,120,41040,0,0,-,benign,-,2018-10-25 13:29:15.445241856,723.8245759010315,13,48555
1540474331.623219,CRpfqB3kixgb3iGKY2,192.168.1.132,35624,192.168.1.1,53,udp,dns,0.200137,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 13:32:11.623218944,176.17797708511353,13,48731
1540474331.823843,CaUj5SqM6MzuzRMn2,192.168.1.132,53408,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 13:32:11.823843072,0.2006239891052246,13,48731
1540474466.832336,C1SR67La2smGPXQgl,192.168.1.132,37547,216.239.35.0,123,udp,-,0.109694,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:34:26.832335872,135.00849294662476,13,48866
1540474595.043308,C9rfg3DPGazGisG8f,192.168.1.132,42661,216.239.35.4,123,udp,-,0.116179,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:36:35.043308032,128.21097207069397,13,48995
1540474660.224139,C4ZMI03YRLJpGsS1Gk,192.168.1.132,58337,216.239.35.8,123,udp,-,0.016732,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:37:40.224139008,65.18083095550537,13,49060
1540475231.829978,CaL5Zl1IYbzg8TOvN1,192.168.1.132,37762,192.168.1.1,53,udp,dns,0.119679,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 13:47:11.829978112,571.6058390140533,13,49631
1540475231.950154,CB0DUp1dWFoiXeHlk6,192.168.1.132,53409,2.16.60.82,443,tcp,-,3.000292,0,0,SF,-,-,0,ShAFf,6,276,2,92,-,benign,-,2018-10-25 13:47:11.950153984,0.12017607688903809,13,49631
1540475249.018951,Chp7Wb6fF9MF6uU2k,192.168.1.132,1900,239.255.255.250,1900,udp,-,50.830580,3768,0,S0,-,-,0,D,12,4104,0,0,-,benign,-,2018-10-25 13:47:29.018950912,17.06879687309265,13,49649
1540475357.340566,CG5S7F4VEBuoeB9Xs9,192.168.1.132,60830,216.239.35.12,123,udp,-,0.270102,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 13:49:17.340566016,108.32161498069763,13,49757
1540475359.960583,Cnb06s1Znjnung2qr1,192.168.1.132,1900,239.255.255.250,1900,udp,-,322.370929,13188,0,S0,-,-,0,D,42,14364,0,0,-,benign,-,2018-10-25 13:49:19.960582912,2.6200170516967773,13,49759
1540475744.953356,CmSPZM1VeGjyWUKnSc,192.168.1.132,1900,239.255.255.250,1900,udp,-,1643.646987,58404,0,S0,-,-,0,D,186,63612,0,0,-,benign,-,2018-10-25 13:55:44.953356032,384.9927730560303,13,50144
1540476124.798177,Cgy2EYobRk1smi0hl,192.168.1.132,44113,192.168.1.1,53,udp,dns,0.180398,37,179,SF,-,-,0,Dd,1,65,1,207,-,benign,-,2018-10-25 14:02:04.798177024,379.8448209762573,14,50524
1540476124.979321,CybtIqpihamUF9ei8,192.168.1.132,55180,192.168.1.1,53,udp,dns,0.003752,37,442,SF,-,-,0,Dd,1,65,1,470,-,benign,-,2018-10-25 14:02:04.979321088,0.18114399909973145,14,50524
1540476124.983569,C9jU4h471UjRdSSze7,192.168.1.132,56812,52.209.221.67,80,tcp,http,0.089448,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,benign,-,2018-10-25 14:02:04.983568896,0.004247903823852539,14,50524
1540476125.073768,C8WJCQ1wdWmWNRp7V2,192.168.1.132,52508,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,benign,-,2018-10-25 14:02:05.073767936,0.09019899368286133,14,50525
1540476125.074767,Ce9nf72uGYrBAnGtGh,192.168.1.132,57276,192.168.1.1,53,udp,dns,0.000750,37,132,SF,-,-,0,Dd,1,65,1,160,-,benign,-,2018-10-25 14:02:05.074767104,0.0009992122650146484,14,50525
1540476125.075766,CajqPf45nI4XZfNi5g,192.168.1.132,60410,52.215.95.120,80,tcp,http,0.114934,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,benign,-,2018-10-25 14:02:05.075766016,0.0009989738464355469,14,50525
1540476134.950397,CI6HqI2pPt4MYd9lj,192.168.1.132,50702,192.168.1.1,53,udp,dns,0.061961,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 14:02:14.950396928,9.87463092803955,14,50534
1540476135.012856,CtywZo2EMLbcogHDwk,192.168.1.132,53412,2.16.60.82,443,tcp,-,0.003496,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 14:02:15.012856064,0.06245899200439453,14,50535
1540476614.709889,C1ozz8kKX3LS4aswk,192.168.1.132,58852,216.239.35.0,123,udp,-,0.109678,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:10:14.709889024,479.6970329284668,14,51014
1540476757.919723,C8fHZ41GZZozesCiqj,192.168.1.132,48147,216.239.35.4,123,udp,-,0.114433,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:12:37.919723008,143.20983409881592,14,51157
1540476804.080158,CqdhaF5xvBFSNGHk1,192.168.1.132,45244,216.239.35.8,123,udp,-,0.016723,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:13:24.080157952,46.16043496131897,14,51204
1540477035.015706,C2KkwA4bb6Zm15LMAi,192.168.1.132,52447,192.168.1.1,53,udp,dns,0.042224,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 14:17:15.015706112,230.9355480670929,14,51435
1540477035.058426,Cs1K323K1jOQi2kUT9,192.168.1.132,56420,2.16.60.139,443,tcp,-,0.003248,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 14:17:15.058425856,0.04271984100341797,14,51435
1540477474.197539,CqoVrQ2jIdhoxyJ3vi,192.168.1.132,33243,216.239.35.12,123,udp,-,0.269861,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:24:34.197539072,439.1391131877899,14,51874
1540477502.39921,Cln7FX3jEFbLoh5V76,192.168.1.132,1900,239.255.255.250,1900,udp,-,109.999279,5652,0,S0,-,-,0,D,18,6156,0,0,-,benign,-,2018-10-25 14:25:02.399209984,28.20167088508606,14,51902
1540477674.054085,ClZeN63S7LbgEs2ZNk,192.168.1.132,1900,239.255.255.250,1900,udp,-,70334.105742,2550936,0,S0,-,-,0,D,8124,2778408,0,0,-,benign,-,2018-10-25 14:27:54.054085120,171.65487504005432,14,52074
1540477935.060518,CaJTGK251IMHxhAlL5,192.168.1.132,46059,192.168.1.1,53,udp,dns,0.034980,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 14:32:15.060518144,261.0064330101013,14,52335
1540477935.096245,CquRBf3qPSLrfDZME5,192.168.1.132,56602,2.16.60.139,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,benign,-,2018-10-25 14:32:15.096244992,0.03572702407836914,14,52335
1540478671.568043,C7JXdX2wP6TZ9dU1L6,192.168.1.132,45914,216.239.35.0,123,udp,-,0.109194,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:44:31.568043008,736.4717979431152,14,53071
1540478835.098119,Ct5dAw3Xi2Hdys9A96,192.168.1.132,52404,192.168.1.1,53,udp,dns,0.107433,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 14:47:15.098118912,163.5300760269165,14,53235
1540478835.206048,Cb6hEU29Q51Uh5o4b,192.168.1.132,53596,2.16.60.82,443,tcp,-,0.003498,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 14:47:15.206048000,0.10792899131774902,14,53235
1540478897.777652,CrS9pI2Df9e3pVlaH,192.168.1.132,52156,216.239.35.8,123,udp,-,0.016983,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:48:17.777651968,62.57160401344299,14,53297
1540478909.806048,CMvpwu3AlLojqV6xC6,192.168.1.132,47693,216.239.35.4,123,udp,-,0.114429,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:48:29.806048000,12.028395891189575,14,53309
1540479532.01968,CB7ALp4YViqgQDMZI3,192.168.1.132,46724,216.239.35.12,123,udp,-,0.269841,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 14:58:52.019680000,622.213632106781,14,53932
1540479724.795308,CwqJ5D3zVGg6IPW4Ne,192.168.1.132,57927,192.168.1.1,53,udp,dns,0.039463,37,179,SF,-,-,0,Dd,1,65,1,207,-,benign,-,2018-10-25 15:02:04.795308032,192.77562808990479,15,54124
1540479724.835267,C6PJkt3yXlV49l8yrf,192.168.1.132,43483,192.168.1.1,53,udp,dns,0.004250,37,442,SF,-,-,0,Dd,1,65,1,470,-,benign,-,2018-10-25 15:02:04.835267072,0.039958953857421875,15,54124
1540479724.840014,Cx7C0rBT2nl5Kjzw8,192.168.1.132,60596,52.215.95.120,80,tcp,http,0.093946,1847,1539,SF,-,-,0,ShADadtfF,7,2151,7,1831,-,benign,-,2018-10-25 15:02:04.840014080,0.004746913909912109,15,54124
1540479724.934961,CJvZrS2myol5OtCqt,192.168.1.132,47067,192.168.1.1,53,udp,dns,0.000499,37,100,SF,-,-,0,Dd,1,65,1,128,-,benign,-,2018-10-25 15:02:04.934961152,0.09494709968566895,15,54124
1540479724.935959,C1UiiY12fggmaaXaJ4,192.168.1.132,51670,192.168.1.1,53,udp,dns,0.000500,37,132,SF,-,-,0,Dd,1,65,1,160,-,benign,-,2018-10-25 15:02:04.935959040,0.0009980201721191406,15,54124
1540479724.93696,CGTOJt2xNQkobSwysb,192.168.1.132,57000,52.209.221.67,80,tcp,http,0.126426,1847,791,SF,-,-,0,ShADadfF,6,2099,6,1035,-,benign,-,2018-10-25 15:02:04.936960000,0.0010008811950683594,15,54124
1540479735.208374,Cj88eQ2LLHagBCKrxh,192.168.1.132,59133,192.168.1.1,53,udp,dns,0.046721,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 15:02:15.208374016,10.271414041519165,15,54135
1540479735.255579,CCX7ye2aClx8tifQvl,192.168.1.132,53599,2.16.60.82,443,tcp,-,0.003250,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,benign,-,2018-10-25 15:02:15.255578880,0.04720497131347656,15,54135
1540480635.257336,CU8GGT1Vu2qt0wFT7g,192.168.1.132,50151,192.168.1.1,53,udp,dns,0.051225,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 15:17:15.257335808,900.0017569065094,15,55035
1540480635.309043,Cs4qk62UTBa3GY4gwl,192.168.1.132,56607,2.16.60.139,443,tcp,-,0.003745,0,0,SF,-,-,0,ShAFaf,4,172,3,132,-,benign,-,2018-10-25 15:17:15.309042944,0.05170702934265137,15,55035
1540480739.387242,CKqaWQ15Z1dHj0zB83,192.168.1.132,54251,216.239.35.0,123,udp,-,0.109680,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 15:18:59.387241984,104.0781991481781,15,55139
1540480974.59744,CNlitm1jg4l6KNuTik,192.168.1.132,37639,216.239.35.8,123,udp,-,0.016990,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 15:22:54.597440000,235.21019792556763,15,55374
1540481064.704348,C171Dq4TLzzeKADiDg,192.168.1.132,54182,216.239.35.4,123,udp,-,0.114424,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 15:24:24.704348160,90.10690808296204,15,55464
1540481535.310853,CT0eAm3Xg44YRX9sH,192.168.1.132,38186,192.168.1.1,53,udp,dns,0.040470,34,297,SF,-,-,0,Dd,1,62,1,325,-,benign,-,2018-10-25 15:32:15.310853120,470.6065049171448,15,55935
